Player,Total Kills,Rounds Won,Total Rounds,Maps Played,ADR,Rating,Impact,KAST,AWP%,IGL,AWP,Rank,Win,Loss,KPR,wKAA,wKAAFactor,wAAA,wAAAFactor,kAWP,kAWPFactor,iAWP,iAWPFactor,iADRFactor,WL,WLFactor,RAR
chopper,514,536,917,44,63.2,0.99,0.92,0.747,0.0019,1,0,2,33,11,0.561,-0.09988495575221235,-0.8312600428494908,-9.461946902654873,-1.128566721878502,0.0,0.0,-0.0,0.0,-0.18727730960000458,0.4212603062426383,0.581339222614841,0.4342351482868434
donk,830,536,917,44,94.8,1.37,1.57,0.761,0.0145,0,0,2,33,11,0.905,0.24411504424778763,2.03156802356722,22.13805309734512,2.6404999171822463,0.0,0.0,0.0,0.0,1.642222421005381,0.4212603062426383,0.4602268845700824,8.77451724632493
sh1ro,689,536,917,44,75.3,1.24,1.12,0.785,0.3875,0,1,2,33,11,0.751,0.0901150442477876,0.7499531333690412,2.6380530973451215,0.3146518329517208,0.0267237831858407,0.2546103484513274,0.02445022123893809,0.45242651559734526,0.024065085212612202,0.4212603062426383,0.4602268845700824,3.7467131032494745
zont1x,619,536,917,44,77.1,1.13,1.09,0.756,0.0016,0,0,2,33,11,0.675,0.014115044247787645,0.11746786288162855,4.438053097345119,0.5293455022653074,0.0,0.0,0.0,0.0,0.02123627973689733,0.4212603062426383,0.4602268845700824,3.128276529453916
magixx,566,536,917,44,68.2,1.08,0.96,0.773,0.0283,0,0,2,33,11,0.617,-0.04388495575221241,-0.3652182645956081,-4.461946902654873,-0.5321954182296494,0.0,0.0,-0.0,0.0,-0.06251048355714309,0.4212603062426383,0.4602268845700824,1.5003027181876818
Brollan,829,706,1210,57,79.4,1.13,1.19,0.735,0.0012,0,0,3,38,19,0.685,0.024115044247787654,0.2006896089983935,6.73805309734513,0.803676301943781,0.0,0.0,0.0,0.0,0.12965719046644636,0.6839811542991755,0.7472494110718493,3.88127251248047
Jimpphat,899,706,1210,57,78.0,1.19,1.14,0.769,0.0011,0,0,3,38,19,0.743,0.0821150442477876,0.6833757364756292,5.338053097345124,0.6366923369221016,0.0,0.0,0.0,0.0,0.06413023377525906,0.6839811542991755,0.7472494110718493,4.131447718244839
xertioN,908,706,1210,57,82.3,1.19,1.37,0.732,0.0033,0,0,3,38,19,0.75,0.0891150442477876,0.7416309587573646,9.638053097345122,1.1495716580601147,0.0,0.0,0.0,0.0,0.4362761626405672,0.6839811542991755,0.7472494110718493,5.074728190529896
torzsi,884,706,1210,57,73.6,1.14,1.09,0.726,0.4061,0,1,3,38,19,0.731,0.07011504424778758,0.5835096411355113,0.9380530973451187,0.1118855897111105,0.004046624778761032,0.144626130176991,0.013440831858407106,0.4175630822460178,0.004488625427938365,0.6839811542991755,0.7472494110718493,3.7200702194154363
siuhy,726,706,1210,57,67.8,0.97,0.9,0.702,0.0014,1,0,3,38,19,0.6,-0.06088495575221242,-0.5066952329941085,-4.8619469026548785,-0.5799051225215582,-0.0,0.0,-0.0,0.0,-0.11028927672091422,0.6839811542991755,0.9438939929328621,1.7470043606962813
Zywoo,1115,707,1325,60,86.6,1.32,1.42,0.765,0.2951,0,1,4,36,24,0.842,0.18111504424778757,1.507271023031601,13.938053097345119,1.6624509791981277,0.014449453982300872,0.1950798518141592,0.10715002654867253,0.7143119890716814,0.731674590254751,0.6971731448763251,0.7616616607773851,7.182290390519387
Spinx,930,707,1325,60,77.2,1.12,1.06,0.74,0.0075,0,0,4,36,24,0.702,0.04111504424778756,0.34216657739689293,4.538053097345127,0.5412729283382854,0.0,0.0,0.0,0.0,0.002032132206150735,0.6971731448763251,0.7616616607773851,3.647133298718714
FlameZ,905,707,1325,60,74.4,1.11,1.2,0.749,0.0022,0,0,4,36,24,0.683,0.022115044247787652,0.1840452597750405,1.73805309734513,0.2073049982949283,0.0,0.0,0.0,0.0,0.035957327137881356,0.6971731448763251,0.7616616607773851,3.188969245985235
mezii,800,707,1325,60,68.7,1.02,0.96,0.734,0.0,0,0,4,36,24,0.604,-0.05688495575221242,-0.47340653454740245,-3.961946902654873,-0.4725582878647641,0.0,0.0,-0.0,0.0,-0.05550563960438906,0.6971731448763251,0.7616616607773851,1.7601911987608294
apEX,763,707,1325,60,69.8,0.98,0.94,0.722,0.0026,1,0,4,36,24,0.576,-0.08488495575221244,-0.7064274236743444,-2.8619469026548785,-0.3413566010620172,0.0,0.0,-0.0,0.0,-0.04837029444922768,0.6971731448763251,0.9620989399293286,1.8659446207437393
m0nesy,1587,999,1966,88,81.5,1.26,1.33,0.748,0.4297,0,1,5,55,36,0.807,0.14611504424778765,1.2159949116229247,8.838053097345124,1.0541522494762985,0.01373518938053095,0.1916156684955751,0.11734992920353986,0.7466120208088497,0.3489529463002261,1.5267748741246976,1.668001549981232,6.842098009693956
NiKo,1491,1028,2024,91,81.7,1.18,1.3,0.73,0.0141,0,0,5,55,36,0.737,0.07611504424778759,0.6334426888055702,9.038053097345127,1.078007101622253,0.0,0.0,0.0,0.0,0.3176492902286221,1.5267748741246976,1.668001549981232,5.697100630637678
