Player,Total Kills,Rounds Won,Total Rounds,Maps Played,ADR,Rating,Impact,KAST,AWP%,IGL,AWP,Rank,Win,Loss,KPR
chopper,514,536,917,44,63.2,0.99,0.92,0.747,0.0019,1,0,2,33,11,0.561
donk,830,536,917,44,94.8,1.37,1.57,0.761,0.0145,0,0,2,33,11,0.905
sh1ro,689,536,917,44,75.3,1.24,1.12,0.785,0.3875,0,1,2,33,11,0.751
zont1x,619,536,917,44,77.1,1.13,1.09,0.756,0.0016,0,0,2,33,11,0.675
magixx,566,536,917,44,68.2,1.08,0.96,0.773,0.0283,0,0,2,33,11,0.617
Brollan,829,706,1210,57,79.4,1.13,1.19,0.735,0.0012,0,0,3,38,19,0.685
Jimpphat,899,706,1210,57,78,1.19,1.14,0.769,0.0011,0,0,3,38,19,0.743
xertioN,908,706,1210,57,82.3,1.19,1.37,0.732,0.0033,0,0,3,38,19,0.75
torzsi,884,706,1210,57,73.6,1.14,1.09,0.726,0.4061,0,1,3,38,19,0.731
siuhy,726,706,1210,57,67.8,0.97,0.9,0.702,0.0014,1,0,3,38,19,0.6
Zywoo,1115,707,1325,60,86.6,1.32,1.42,0.765,0.2951,0,1,4,36,24,0.842
Spinx,930,707,1325,60,77.2,1.12,1.06,0.74,0.0075,0,0,4,36,24,0.702
FlameZ,905,707,1325,60,74.4,1.11,1.2,0.749,0.0022,0,0,4,36,24,0.683
mezii,800,707,1325,60,68.7,1.02,0.96,0.734,0,0,0,4,36,24,0.604
apEX,763,707,1325,60,69.8,0.98,0.94,0.722,0.0026,1,0,4,36,24,0.576
m0nesy,1587,999,1966,88,81.5,1.26,1.33,0.748,0.4297,0,1,5,55,36,0.807
NiKo,1491,1028,2024,91,81.7,1.18,1.3,0.73,0.0141,0,0,5,55,36,0.737
hunter,1305,1028,2024,91,72,1.04,0.97,0.721,0.0046,0,0,5,55,36,0.645
Hooxi,755,731,1440,65,60.6,0.88,0.86,0.699,0.0093,1,0,5,55,36,0.524
nexa,1085,913,1797,81,66.1,0.98,0.81,0.72,0.0018,0,0,5,55,36,0.604
karrigan,1011,940,1788,82,65.2,0.9,0.96,0.668,0.0129,1,0,6,48,34,0.565
broky,1350,940,1788,82,75.6,1.17,1.11,0.76,0.3585,0,1,6,48,34,0.755
ropz,1237,940,1788,82,73.5,1.08,0.98,0.733,0.0178,0,0,6,48,34,0.692
frozen,1276,940,1788,82,80.2,1.14,1.14,0.735,0.0086,0,0,6,48,34,0.714
rain,1156,940,1788,82,75.1,1.04,1.1,0.702,0,0,0,6,48,34,0.647
AleksiB,982,712,1873,87,62.4,0.92,0.79,0.698,0.0102,1,0,1,38,27,0.524
w0nderful,1372,712,1873,87,74.2,1.15,1.08,0.738,0.2886,0,1,1,38,27,0.733
jL,1341,712,1873,87,79.5,1.14,1.17,0.727,0.006,0,0,1,38,27,0.716
b1t,1341,712,1873,87,75.6,1.11,1.12,0.722,0.0045,0,0,1,38,27,0.716
iM,1247,712,1873,87,74.6,1.01,1.09,0.666,0.004,0,0,1,38,27,0.666
ELIGE,589,360,782,36,81.4,1.16,1.3,0.738,0.0255,0,0,11,16,20,0.753
hallzerk,549,360,782,36,73.1,1.09,1.08,0.71,0.326,0,1,11,16,20,0.702
Grim,526,360,782,36,73.9,1.03,1.01,0.702,0.0038,0,0,11,16,20,0.673
JT,479,360,782,36,70.4,0.96,0.97,0.698,0,1,0,11,16,20,0.613
floppy,428,360,782,36,66.4,0.94,0.84,0.712,0.007,0,0,11,16,20,0.547
Nertz,737,514,1033,46,78.5,1.11,1.19,0.697,0.0163,0,0,9,23,23,0.713
TeSeS,745,514,1033,46,80.6,1.14,1.18,0.734,0.0054,0,0,9,23,23,0.721
sjuush,657,514,1033,46,73.1,1.03,0.98,0.718,0.0076,0,0,9,23,23,0.636
kyxsan,616,514,1033,46,67.3,0.96,0.92,0.695,0.0065,1,0,9,23,23,0.596
nicoodoz,665,514,1033,46,66,1.02,1,0.705,0.2827,0,1,9,23,23,0.644
snappi,338,332,679,32,59,0.82,0.73,0.666,0,1,0,13,15,17,0.498
dupreeh,276,179,366,17,82.3,1.16,1.3,0.713,0,0,0,13,4,13,0.754
